StudyID,Dep_Scale,Anx_Scale,N_Active,N_Sham,Mean_YBOCS_Active_Baseline,SD_YBOCS_Active_Baseline,Mean_YBOCS_Active_End,SD_YBOCS_Active_End,Mean_YBOCS_Sham_Baseline,SD_YBOCS_Sham_Baseline,Mean_YBOCS_Sham_End,SD_YBOCS_Sham_End,Mean_Dep_Active_Baseline,SD_Dep_Active_Baseline,Mean_Dep_Active_End,SD_Dep_Active_End,Mean_Dep_Sham_Baseline,SD_Dep_Sham_Baseline,Mean_Dep_Sham_End,SD_Dep_Sham_End,Mean_Anx_Active_Baseline,SD_Anx_Active_Baseline,Mean_Anx_Active_End,SD_Anx_Active_End,Mean_Anx_Sham_Baseline,SD_Anx_Sham_Baseline,Mean_Anx_Sham_End,SD_Anx_Sham_End,Target
Alonso 2001,HAMD,,10,8,24,5.3,20.6,9.1,25.6,6.1,25.3,8.3,11.1,5.1,10.8,4.8,11.7,2.7,12,3,,,,,,,,,DLPFC
Prasko 2006,,HAMA,18,12,29.82,5.876,22.76,8.757,23.42,4.999,19.75,5.446,,,,,,,,,21.35,8.299,15.53,7.16,19.75,6.21,14.42,5.946,DLPFC
Sachdev P 2007,MADRS,,10,8,25.8,5.7,19.8,9,23.9,9.9,19,11.7,16.1,8.6,13.9,8.8,16.3,11.4,12.9,9.8,,,,,,,,,DLPFC
Kang 2009,MADRS,HAMA,10,10,26.5,5.64,24.2,6.71,26.3,4.06,24.5,6.13,23.1,9.12,19.7,9.63,20.5,6.11,18.2,7.47,17.1,7.78,14.3,6.83,20,8.21,16,7.83,DLPFC & SMA
Mantovani A 2010,HAMD,HAMA,9,9,26,5.4,19.4,5.6,26.7,5.5,23.5,9,15.3,10.6,12.1,11.4,14.8,7.7,14.1,8.8,17.4,10,12.2,11.8,14.2,7.1,11.3,6.4,SMA
Sarkhel S 2010,HAMD,HAMA,21,21,25.67,3.94,23.24,3.7,23.62,3.71,21.86,3.43,12.52,2.16,9.9,1.62,12.14,2.71,10.47,2.61,22.76,4.41,19.14,4.07,19.71,3.8,17.47,3.68,DLPFC
Mansur C 2011,HAMD,HAMA,13,14,30,3.84,26.75,6.28,29.53,5.05,27.33,7.29,22.41,7.91,16.58,7.01,21.27,6.63,17.73,6.89,25.75,9.45,18.33,9.39,24.53,7.15,19.67,9.26,DLPFC
Gomes P 2012,HAMD,HAMA,12,10,36.4,3.2,21.1,3.1,31.8,3.5,26.5,3.3,20.7,9.8,12.6,6.5,18.7,7.7,13.6,7.3,25.6,8.2,13.6,8.5,27.2,9.3,21.1,7.2,SMA
Ma 2014,HAMD,HAMA,25,21,25.44,6.18,16.68,6.12,23.43,5.71,19.86,6.79,12.84,5.47,7.76,4.34,12,6.4,8.48,4.93,14.96,5.86,9.92,4.44,12.14,3.89,10.38,3.22,DLPFC
Seo 2016,HAMD,HAMA,14,13,33.15,,,,33.43,,,,19.9,6.7,14.1,6.9,20.8,6,19.3,5.9,22.8,6.9,17.2,13.7,26.1,6.7,21.7,6.5,DLPFC
Pelissolo 2016,MADRS,,20,16,30.2,4.2,27.8,5.9,28.6,4.6,25.5,7.6,10.6,6.4,11.7,9.1,10.4,5.8,10.1,8.4,,,,,,,,,SMA
Hawken 2016,HAMD,,10,12,27.8,,16.9,11.04,27.8,,26.4,7.03,14,3,8,8,15,2,17,6,,,,,,,,,SMA
Elbeh 2016 (a),,HAMA,15,15,26.7,6.5,14.7,5.9,24.9,5.7,23.5,7.4,,,,,,,,,29.7,5.1,17.4,4.9,27.4,4.3,25.7,5.5,DLPFC
Elbeh 2016 (b),,HAMA,15,15,25.3,4.7,18.5,8.5,24.9,5.7,23.5,7.4,,,,,,,,,30.3,7.5,23,5.7,27.4,4.3,25.7,5.5,DLPFC
Arumugham 2018,HAMD,HAMA,19,17,25.05,5.32,19.26,6.92,26.06,6.01,21.82,7.51,8.11,5.64,7.53,7.97,8.18,3.17,6.94,5.31,6.21,5.02,4.21,3.77,6.47,5.69,5.18,4.64,SMA
Zhang 2019,HAMD,HAMA,25,24,17.24,4.27,11.72,3.78,18.08,4.43,14.58,3.72,16.16,9.54,8.36,8.19,13.96,6.31,10.58,4.81,12.76,9.34,8.12,7.79,10.13,6.3,8.58,5.54,SMA
Harika-Germaneau 2019,MADRS,,14,14,30.07,4.38,26.57,4.35,29.36,4.7,24.43,7.44,13.79,8.62,8.21,5.4,12.14,5.97,9.43,7.62,,,,,,,,,SMA
Carmi L 2019,HAMD,,47,47,27.7,3.87,,,26.9,4.13,,,10,5.79,,,10.9,5.47,,,,,,,,,,,DMPFC
Ziblak et al 2019,HAMD,HAMA,19,15,28.47,2.67,27.05,2.55,27.4,2.64,26.07,2.52,4.89,2.38,4.68,2.21,4.13,2.2,3.93,2.09,5.74,2.58,5.37,2.31,5.33,2.23,5.13,2.07,OFC
Dutta 2021,HAMD,HAMA,18,15,29.05,3.21,26.95,3.603,25.53,2.47,25.27,2.549,19.83,5.469,17.5,5.216,15.53,3.871,13.47,3.72,23.56,5.333,20.17,5.874,17.47,5.055,15.13,4.627,OFC
